,file,channel,n_hfos,duration_samples,duration_sec
239,sub-01_ses-01_task-hfo_run-05_eeg.edf,T6-P4,0,0,0.0
240,sub-01_ses-01_task-hfo_run-05_eeg.edf,P4-Pz,0,0,0.0
241,sub-01_ses-01_task-hfo_run-05_eeg.edf,Pz-O1,0,0,0.0
242,sub-01_ses-01_task-hfo_run-05_eeg.edf,Pz-O2,1,42,0.084
243,sub-01_ses-01_task-hfo_run-05_eeg.edf,O1-O2,0,0,0.0
244,sub-01_ses-01_task-hfo_run-05_eeg.edf,F7-C3,0,0,0.0
245,sub-01_ses-01_task-hfo_run-05_eeg.edf,C3-Fz,0,0,0.0
246,sub-01_ses-01_task-hfo_run-05_eeg.edf,F8-C4,1,57,0.114
247,sub-01_ses-01_task-hfo_run-05_eeg.edf,C4-Fz,1,56,0.112
248,sub-01_ses-01_task-hfo_run-05_eeg.edf,T5-C3,1,52,0.104
249,sub-01_ses-01_task-hfo_run-05_eeg.edf,C3-Pz,0,0,0.0
250,sub-01_ses-01_task-hfo_run-05_eeg.edf,T6-C4,0,0,0.0
251,sub-01_ses-01_task-hfo_run-05_eeg.edf,C4-Pz,0,0,0.0
252,sub-01_ses-01_task-hfo_run-05_eeg.edf,T3-P3,1,47,0.094
253,sub-01_ses-01_task-hfo_run-05_eeg.edf,P3-Cz,5,238,0.476
254,sub-01_ses-01_task-hfo_run-05_eeg.edf,T4-P4,2,149,0.298
255,sub-01_ses-01_task-hfo_run-05_eeg.edf,P4-Cz,0,0,0.0
256,sub-01_ses-01_task-hfo_run-05_eeg.edf,T3-F3,1,72,0.144
257,sub-01_ses-01_task-hfo_run-05_eeg.edf,F3-Cz,0,0,0.0
258,sub-01_ses-01_task-hfo_run-05_eeg.edf,T4-F4,2,134,0.268
259,sub-01_ses-01_task-hfo_run-05_eeg.edf,F4-Cz,1,51,0.102
260,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp1-Fp2,5,422,0.844
261,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp1-F7,5,289,0.578
262,sub-01_ses-01_task-hfo_run-06_eeg.edf,F7-T3,1,70,0.14
263,sub-01_ses-01_task-hfo_run-06_eeg.edf,T3-T5,1,48,0.096
264,sub-01_ses-01_task-hfo_run-06_eeg.edf,T5-O1,0,0,0.0
265,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp2-F8,1,71,0.142
266,sub-01_ses-01_task-hfo_run-06_eeg.edf,F8-T4,1,59,0.118
267,sub-01_ses-01_task-hfo_run-06_eeg.edf,T4-T6,1,58,0.116
268,sub-01_ses-01_task-hfo_run-06_eeg.edf,T6-O2,0,0,0.0
269,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp1-F3,4,247,0.494
270,sub-01_ses-01_task-hfo_run-06_eeg.edf,F3-C3,1,37,0.074
271,sub-01_ses-01_task-hfo_run-06_eeg.edf,C3-P3,1,54,0.108
272,sub-01_ses-01_task-hfo_run-06_eeg.edf,P3-O1,2,90,0.18
273,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp2-F4,4,433,0.866
274,sub-01_ses-01_task-hfo_run-06_eeg.edf,F4-C4,6,432,0.864
275,sub-01_ses-01_task-hfo_run-06_eeg.edf,C4-P4,0,0,0.0
276,sub-01_ses-01_task-hfo_run-06_eeg.edf,P4-O2,0,0,0.0
277,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fz-Cz,0,0,0.0
278,sub-01_ses-01_task-hfo_run-06_eeg.edf,Cz-Pz,0,0,0.0
279,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp1-Fz,6,368,0.736
280,sub-01_ses-01_task-hfo_run-06_eeg.edf,Fp2-Fz,2,129,0.258
281,sub-01_ses-01_task-hfo_run-06_eeg.edf,F7-F3,0,0,0.0
282,sub-01_ses-01_task-hfo_run-06_eeg.edf,F3-Fz,1,53,0.106
283,sub-01_ses-01_task-hfo_run-06_eeg.edf,F8-F4,5,405,0.81
284,sub-01_ses-01_task-hfo_run-06_eeg.edf,F4-Fz,4,428,0.856
285,sub-01_ses-01_task-hfo_run-06_eeg.edf,T3-C3,1,46,0.092
286,sub-01_ses-01_task-hfo_run-06_eeg.edf,C3-Cz,0,0,0.0
287,sub-01_ses-01_task-hfo_run-06_eeg.edf,T4-C4,1,57,0.114
288,sub-01_ses-01_task-hfo_run-06_eeg.edf,C4-Cz,0,0,0.0
289,sub-01_ses-01_task-hfo_run-06_eeg.edf,T5-P3,3,149,0.298
290,sub-01_ses-01_task-hfo_run-06_eeg.edf,P3-Pz,1,46,0.092
291,sub-01_ses-01_task-hfo_run-06_eeg.edf,T6-P4,0,0,0.0
292,sub-01_ses-01_task-hfo_run-06_eeg.edf,P4-Pz,0,0,0.0
293,sub-01_ses-01_task-hfo_run-06_eeg.edf,Pz-O1,0,0,0.0
294,sub-01_ses-01_task-hfo_run-06_eeg.edf,Pz-O2,0,0,0.0
295,sub-01_ses-01_task-hfo_run-06_eeg.edf,O1-O2,0,0,0.0
296,sub-01_ses-01_task-hfo_run-06_eeg.edf,F7-C3,0,0,0.0
297,sub-01_ses-01_task-hfo_run-06_eeg.edf,C3-Fz,0,0,0.0
298,sub-01_ses-01_task-hfo_run-06_eeg.edf,F8-C4,0,0,0.0
299,sub-01_ses-01_task-hfo_run-06_eeg.edf,C4-Fz,0,0,0.0
300,sub-01_ses-01_task-hfo_run-06_eeg.edf,T5-C3,0,0,0.0
301,sub-01_ses-01_task-hfo_run-06_eeg.edf,C3-Pz,0,0,0.0
302,sub-01_ses-01_task-hfo_run-06_eeg.edf,T6-C4,0,0,0.0
303,sub-01_ses-01_task-hfo_run-06_eeg.edf,C4-Pz,0,0,0.0
304,sub-01_ses-01_task-hfo_run-06_eeg.edf,T3-P3,0,0,0.0
305,sub-01_ses-01_task-hfo_run-06_eeg.edf,P3-Cz,1,52,0.104
306,sub-01_ses-01_task-hfo_run-06_eeg.edf,T4-P4,1,77,0.154
307,sub-01_ses-01_task-hfo_run-06_eeg.edf,P4-Cz,0,0,0.0
